expr	time	Date
yr2fy(2014L)	20782	2019-01-31
yr2fy(x2014L_10K)	74390	2019-01-31
yr2fy(x1984_2015_20M)	165314486	2019-01-31
yr2fy(2014L)	26202	2019-01-31
yr2fy(x2014L_10K)	74391	2019-01-31
yr2fy(x1984_2015_20M)	176446867	2019-01-31
